"manufacturer","productName","releaseYear","memSize","gpuClock","tmu","rop","igp","bus","gpuChip"
"AMD","Radeon Pro W6600M","2021",8,300,28,8,"Yes","IGP","Barcelo"
"AMD","Radeon Pro W6600","2021",8,300,28,8,"Yes","IGP","Cezanne"
"NVIDIA","Quadro T1200 Mobile","2021",4,300,28,8,"Yes","IGP","Cezanne"
"NVIDIA","GeForce RTX 3050 Ti Mobile","2021",4,300,32,8,"Yes","IGP","Lucienne"
"NVIDIA","GeForce RTX 3050 Ti Mobile","2021",4,400,28,8,"Yes","IGP","Renoir"
"NVIDIA","GeForce GTX 1650 Ti Mobile","2020",4,444,20,8,"Yes","IGP","Sumo"
"NVIDIA","GeForce GTX 1650 Ti Mobile","2020",4,600,20,8,"Yes","IGP","Sumo"
"AMD","Radeon RX 560X Mobile","2018",4,1500,24,16,"Yes","PCIe 4.0 x8","Rembrandt+"
"AMD","Radeon RX 560X Mobile","2018",2,300,24,8,"Yes","Ring Bus","Meteor Lake GT1"
"AMD","Radeon RX 560X Mobile","2018",4,300,24,12,"Yes","Ring Bus","Alder Lake GT1"
"AMD","Radeon RX 560X","2018",4,1500,24,16,"Yes","PCIe 4.0 x8","Rembrandt"
"AMD","Radeon RX 560DX","2018",4,300,24,8,"Yes","IGP","Cezanne"
"AMD","Radeon RX 550X 640SP","2018",2,300,24,8,"Yes","IGP","Cezanne"
"AMD","Radeon RX 550X","2018",4,200,32,8,"Yes","Ring Bus","Lakefield GT1"
"AMD","Radeon RX 540X Mobile","2018",2,400,24,8,"Yes","IGP","Renoir"
"AMD","Radeon Pro 560X","2018",4,854,24,16,"Yes","IGP","GV10B"
"AMD","Radeon Pro 555X","2018",4,300,24,12,"Yes","Ring Bus","Tiger Lake GT2"
"NVIDIA","Quadro P620 Mobile","2018",4,300,24,8,"Yes","IGP","Raven"
"NVIDIA","Quadro P620","2018",2,300,24,8,"Yes","IGP","Picasso"
"NVIDIA","GeForce GTX 1050 Ti Max-Q","2018",4,300,24,8,"Yes","Ring Bus","Ice Lake GT1"
"NVIDIA","GeForce GTX 1050 Max-Q","2018",4,300,48,6,"Yes","Ring Bus","Coffee Lake GT3e"
"NVIDIA","GeForce GT 1030 GK107","2018",2,300,24,8,"Yes","IGP","Raven"
"AMD","Radeon 550X Mobile","2018",4,500,4,4,"Yes","PCIe 1.0 x16","RS880"
"AMD","Radeon 550X 640SP","2018",4,560,4,4,"Yes","PCIe 1.0 x16","RS880"
"AMD","Radeon 540X Mobile","2018",2,590,4,4,"Yes","PCIe 1.0 x16","RS880"
"NVIDIA","Quadro P500 Mobile","2018",2,500,4,4,"Yes","PCI","RS880"
"NVIDIA","GeForce GT 1030 DDR4","2018",2,380,4,4,"Yes","PCIe 1.0 x16","RS880"
"AMD","Radeon RX 560D","2017",4,300,24,8,"Yes","IGP","Raven"
"AMD","Radeon RX 560 Mobile","2017",4,300,48,6,"Yes","Ring Bus","Coffee Lake GT3e"
"AMD","Radeon RX 560 Mobile","2017",4,200,24,8,"Yes","IGP","Wani"
"AMD","Radeon RX 560 Mobile","2017",4,300,48,6,"Yes","Ring Bus","Kaby Lake GT3e"
"AMD","Radeon RX 560 896SP","2017",4,300,48,6,"Yes","Ring Bus","Kaby Lake GT3e"
"AMD","Radeon RX 560","2017",4,955,24,8,"Yes","IGP","Jet"
"AMD","Radeon RX 550 Mobile","2017",2,955,24,8,"Yes","IGP","Jet"
"AMD","Radeon RX 550 640SP","2017",2,900,24,8,"Yes","IGP","Meso"
"AMD","Radeon RX 550 512SP","2017",2,955,24,8,"Yes","IGP","Jet"
"AMD","Radeon RX 550","2017",2,200,24,8,"Yes","IGP","Wani"
"AMD","Radeon RX 540 Mobile","2017",2,955,24,8,"Yes","IGP","Jet"
"AMD","Radeon RX 460 1024SP","2017",2,955,24,8,"Yes","IGP","Jet"
"AMD","Radeon Pro WX 4170 Mobile","2017",4,200,24,8,"Yes","IGP","Wani"
"AMD","Radeon Pro WX 4150 Mobile","2017",4,350,48,6,"Yes","Ring Bus","Skylake GT3e"
"AMD","Radeon Pro WX 4130 Mobile","2017",4,300,48,6,"Yes","Ring Bus","Skylake GT3e"
"AMD","Radeon Pro WX 3100","2017",4,300,48,6,"Yes","Ring Bus","Skylake GT3e"
"AMD","Radeon Pro 560","2017",4,554,24,8,"Yes","IGP","Spectre Lite"
"AMD","Radeon Pro 555","2017",2,900,24,8,"Yes","IGP","Topaz"
"AMD","Radeon E9175 PCIe","2017",4,900,24,8,"Yes","IGP","Topaz"
"AMD","Radeon E9174 MXM","2017",4,925,24,8,"Yes","IGP","Topaz"
