"","manufacturer","productName","releaseYear","memSize","memBusWidth","gpuClock","memClock","unifiedShader","tmu","rop","igp","bus","memType","gpuChip","Cluster"
"30","NVIDIA","H100 SXM5 80 GB",2023,80,5120,1320,1563,9216,288,96,"No","PCIe 4.0 x16","GDDR6","GA102",4
"27","NVIDIA","H800 SXM5",2023,80,5120,1335,2250,9728,304,112,"No","PCIe 4.0 x16","GDDR6","AD103",4
"33","NVIDIA","H100 CNX",2023,80,5120,1440,1188,8704,272,96,"No","PCIe 4.0 x16","GDDR6X","GA102",4
"29","NVIDIA","H100 SXM5 96 GB",2023,96,5120,2205,1400,9728,304,112,"No","PCIe 4.0 x16","GDDR6X","AD103",4
"32","NVIDIA","H100 PCIe 80 GB",2023,80,5120,1260,1188,8960,280,96,"No","PCIe 4.0 x16","GDDR6X","GA102",4
"67","NVIDIA","GeForce RTX 4060 Mobile",2023,8,128,1260,1375,4096,128,64,"No","PCIe 4.0 x16","GDDR6","GA104",2
"66","NVIDIA","GeForce RTX 4060 Ti 16 GB",2023,16,128,1020,1375,4096,128,64,"No","PCIe 4.0 x16","GDDR6","GA104",2
"25","NVIDIA","GeForce RTX 4050 Max-Q",2023,6,96,915,2500,18176,568,192,"No","PCIe 4.0 x16","GDDR6","AD102",3
"11","NVIDIA","B200 SXM 192 GB",2024,96,4096,2070,2250,7680,240,80,"No","PCIe 4.0 x16","GDDR6","AD103",4
"70","NVIDIA","RTX A1000 Mobile 6 GB",2022,6,96,1005,2250,18176,568,192,"No","PCIe 4.0 x16","GDDR6","AD102",3
"71","NVIDIA","GeForce RTX 3050 Mobile Refresh 6 GB",2022,6,96,1005,2250,18176,568,192,"No","PCIe 4.0 x16","GDDR6","AD102",3
"7","NVIDIA","RTX 1000 Mobile Ada Generation",2024,6,96,2235,2500,20480,640,192,"No","PCIe 5.0 x16","GDDR7","GB202",3
"77","NVIDIA","A800 SXM4 80 GB",2022,80,5120,2340,1313,8448,264,96,"No","PCIe 4.0 x16","GDDR6X","AD102",4
"78","NVIDIA","A800 PCIe 80 GB",2022,80,5120,2340,1313,8448,264,96,"No","PCIe 4.0 x16","GDDR6X","AD103",4
"17","NVIDIA","GeForce RTX 4070 GDDR6",2024,12,192,1140,1500,5120,160,80,"No","PCIe 4.0 x16","GDDR6","GA104",2
"31","NVIDIA","H100 PCIe 96 GB",2023,96,5120,885,1563,9216,288,96,"No","PCIe 4.0 x16","GDDR6","GA102",4
"55","NVIDIA","RTX 4000 Ada Generation",2023,20,160,1410,1188,4864,152,80,"No","PCIe 4.0 x16","GDDR6X","GA104",2
"73","NVIDIA","T550 Mobile",2022,4,64,1440,2250,11776,368,128,"No","PCIe 4.0 x16","GDDR6","AD102",3
"28","NVIDIA","H800 PCIe 80 GB",2023,80,5120,930,2250,9728,304,112,"No","PCIe 4.0 x16","GDDR6","AD103",4
"72","NVIDIA","GeForce RTX 3050 Max-Q Refresh 6 GB",2022,6,96,735,2250,18176,568,192,"No","PCIe 4.0 x16","GDDR6","AD102",3
"69","NVIDIA","GeForce RTX 4060",2023,8,128,1200,1000,4096,256,64,"No","PCIe 4.0 x16","HBM2","Vega 20",2
"26","NVIDIA","Jetson Orin Nano 4 GB",2023,4,64,1155,2250,12800,400,176,"No","PCIe 4.0 x16","GDDR6","AD102",3
"75","NVIDIA","RTX A500 Embedded",2022,4,64,1410,2000,10752,336,112,"No","PCIe 4.0 x16","GDDR6","GA102",2
"108","NVIDIA","RTX A1000 Embedded",2022,4,128,1200,945,4096,256,64,"No","PCIe 3.0 x16","HBM2","Vega 10",2
"106","NVIDIA","RTX A2000 Embedded",2022,4,128,1247,945,4096,256,64,"No","PCIe 3.0 x16","HBM2","Vega 10",2
"107","NVIDIA","RTX A1000 Mobile",2022,4,128,1247,945,4096,256,64,"No","PCIe 3.0 x16","HBM2","Vega 10",2
"68","NVIDIA","GeForce RTX 4060 Max-Q",2023,8,128,1400,1000,4096,256,64,"No","PCIe 3.0 x16","HBM2","Vega 20",2
"79","NVIDIA","A800 PCIe 40 GB",2022,40,5120,1170,2000,8192,256,96,"No","PCIe 4.0 x16","GDDR6","GA102",4
"23","NVIDIA","GeForce RTX 3050 A Mobile",2024,4,128,1065,1750,4608,288,96,"No","PCIe 3.0 x16","GDDR6","TU102",2
"113","NVIDIA","GeForce RTX 3050 Max-Q Refresh 4 GB",2022,4,128,1050,500,4096,256,64,"No","PCIe 3.0 x16","HBM","Fiji",2
"112","NVIDIA","GeForce RTX 3050 Mobile Refresh 4 GB",2022,4,128,1000,500,4096,256,64,"No","PCIe 3.0 x16","HBM","Fiji",2
"58","NVIDIA","RTX 2000 Max-Q Ada Generation",2023,8,128,1230,1750,4608,288,96,"No","PCIe 3.0 x16","GDDR6","TU102",2
"114","NVIDIA","GeForce RTX 3050 8 GB GA107",2022,8,128,1050,500,4096,256,64,"No","PCIe 3.0 x16","HBM","Fiji",2
"101","NVIDIA","GeForce RTX 3070 Ti Max-Q",2022,8,256,855,1500,5632,176,80,"No","PCIe 4.0 x16","GDDR6","GA104",2
"109","NVIDIA","GeForce RTX 3060 8 GB GA104",2022,8,128,1000,500,4096,256,64,"No","PCIe 3.0 x16","HBM","Capsaicin",2
"110","NVIDIA","GeForce RTX 3060 8 GB",2022,8,128,1000,500,4096,256,64,"No","PCIe 3.0 x16","HBM","Fiji",2
"111","NVIDIA","GeForce RTX 3050 OEM",2022,8,128,975,500,4096,256,64,"No","PCIe 3.0 x16","HBM","Capsaicin",2
"22","NVIDIA","GeForce RTX 4060 AD106",2024,8,128,1275,1750,4608,288,96,"No","PCIe 3.0 x16","GDDR6","TU102",2
"18","NVIDIA","GeForce RTX 4070 AD103",2024,12,192,780,1500,5120,160,80,"No","PCIe 4.0 x16","GDDR6","GA104",2
"56","NVIDIA","RTX 3000 Mobile Ada Generation",2023,8,128,1065,1750,4608,288,96,"No","PCIe 3.0 x16","GDDR6","TU102",2
"65","NVIDIA","GeForce RTX 4060 Ti 8 GB",2023,8,128,495,1375,4096,128,64,"No","PCIe 4.0 x16","GDDR6","GA104",2
"16","NVIDIA","GeForce RTX 4070 SUPER",2024,12,192,1110,1750,5120,160,80,"No","PCIe 4.0 x16","GDDR6","GA104",2
"64","NVIDIA","GeForce RTX 4070 Max-Q",2023,8,128,855,1750,4096,128,64,"No","PCIe 4.0 x16","GDDR6","GA104",2
"60","NVIDIA","Jetson Orin NX 8 GB",2023,8,128,1350,1750,4352,272,88,"No","PCIe 3.0 x16","GDDR6","TU102",2
"57","NVIDIA","RTX 2000 Mobile Ada Generation",2023,8,128,1350,1750,4608,288,96,"No","PCIe 3.0 x16","GDDR6","TU102",2
"8","NVIDIA","GeForce RTX 3050 6 GB",2024,6,96,1000,2525,19456,1216,0,"No","PCIe 5.0 x16","HBM3e","Aqua Vanjaram",1
"24","NVIDIA","GeForce RTX 4050 Mobile",2023,6,96,1000,2525,19456,1216,0,"No","PCIe 5.0 x16","HBM3","Aqua Vanjaram",1
"38","NVIDIA","RTX 5000 Max-Q Ada Generation",2023,16,256,1500,1188,6400,200,80,"No","PCIe 4.0 x16","GDDR6X","GA102",2
"59","NVIDIA","RTX 2000 Embedded Ada Generation",2023,8,128,1395,1750,4608,288,96,"No","PCIe 3.0 x16","GDDR6","TU102",2
"54","NVIDIA","RTX 4000 SFF Ada Generation",2023,20,160,1410,1750,4864,152,80,"No","PCIe 4.0 x16","GDDR6","GA104",2
